product_id,sku,name,packaging_type,unit_container_type
890,AWD-NBH-HLZ,Methyl N-Amyl Ketone (MAK) ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
891,VBB-UEN-9T3,Methyl n-Amyl Ketone (MNAK) - 4 x 55 Gallon Drums,Pallets_48x40,Drums
892,2RW-WFC-5G9,Methyl n-Propyl Ketone (MPK) - 4 x 55 Gallon Drums,Pallets_48x40,Drums
894,TX-O1KN-K3AH,Methyl n-Propyl Ketone (MPK) - 55 Gallon Drum,Pallets_48x40,Drums
895,9DK-6EH-XJ6,Methyl n-Propyl Ketone (MPK) ACS - 4 x 55 Gallon Drums,Pallets_48x40,Drums
897,52B-E4Y-GXR,Methyl n-Propyl Ketone (MPK) ACS - 55 Gallon Drum,Pallets_48x40,Drums
899,BVCE-PCWU-QVIP,Mineral Spirits Odorless - 55 Gallon Drum,Pallets_48x40,Drums
902,HPG-PVH-GHJ,Mobil Vactra Oil No.2 - 55 Gallon Drum,Pallets_48x40,Drums
904,5BW-M6L-ZA2,Monoethanolamine (MEA) - 4 x 55 Gallon Drums,Pallets_48x40,Drums
905,LFN-GSO-SWH,Monoethanolamine (MEA) - 55 Gallon Drum,Pallets_48x40,Drums
908,ZEH-CG2-87G,Monoethanolamine (MEA) ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
910,D6S-7HD-EC5,Monoethanolamine (MEA) ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
912,NTK-CSY-G76,N-Butyl Acetate - 4 x 55 Gallon Drums,Pallets_48x40,Drums
914,6L-29UX-8A0I,N-Butyl Acetate - 55 Gallon Drum,Pallets_48x40,Drums
915,LMM-BAC-W38,N-Butyl Alcohol - 4 x 55 Gallon Drums,Pallets_48x40,Drums
917,P7-S9T7-YDOO,N-Butyl Alcohol - 55 Gallon Drum,Pallets_48x40,Drums
918,ZPR-LKW-BQ3,n-Heptane 99% ACS - 4 x 55 Gallon Drums,Pallets_48x40,Drums
920,JHM-2R2-Z49,n-Heptane 99% ACS - 55 Gallon Drum,Pallets_48x40,Drums
922,D3U-0RU-YU0,n-Heptane 99% Technical - 4 x 55 Gallon Drums,Pallets_48x40,Drums
924,QQC-PWR-RY1,n-Heptane 99% Technical - 55 Gallon Drum,Pallets_48x40,Drums
925,5YH-BDR-MFH,Nitric Acid 10% - 55 Gallon Drum,Pallets_48x40,Drums
926,A3W-371-2Q4,Nitric Acid 20% - 55 Gallon Drum,Pallets_48x40,Drums
927,5IX-PCU-2HV,Nitric Acid 25% - 55 Gallon Drum,Pallets_48x40,Drums
